70 nm disk,,76 nm disk,,86 nm disk,
X,Y,X,Y,X,Y
460.4230943975602,0.33252240349264706,428.825386577749,-0.9937923655790442,397.7335394385027,-2.453239889705883
465.81869919487684,0.33031405921743695,430.4069967830883,-1.0384593290441175,403.6984693557821,-2.4650017233455888
466.77012024625196,0.2938283711922268,430.34989697228326,-1.0801458278623952,409.71431630180484,-2.4745232077205888
467.8467971883356,0.27068876378676454,428.33721956467247,-1.121912339154412,415.7301632478276,-2.484044692095588
472.71141011447196,0.2973489200367645,435.46560358873666,-1.036779067095588,421.7078224222928,-2.4952464384191178
474.54283199208305,0.2636736701516543,438.09451342904,-1.065833596622243,427.7809510256518,-2.5022475298713234
477.018527864077,0.206411106701203,443.21481167040685,-1.0755851168592436,433.98773682946194,-2.5033677045036766
480.2143979928619,0.2520618599002099,447.4387428977273,-1.1015625000000002,440.2327104048296,-2.502807617187501
482.44006315017134,0.1998237161075367,453.30183875752004,-1.0887871750262608,446.48404860879015,-2.5019674862132355
485.9103768904579,0.23825970818014697,459.42588438962235,-1.1098704618566175,452.9517841849098,-2.491605870863971
491.6079924068349,0.21473604090073517,459.64610053893716,-1.1230325137867652,459.3304149607286,-2.485164866727942
492.8739170339656,0.17903047449448528,466.2255353468625,-1.1191819134880518,465.7981505368483,-2.4748032513786766
497.9229768967246,0.21837660845588214,472.5981197255181,-1.1244327320772058,470.7969298337233,-2.4605210248161766
503.6426564588904,0.2034409466911764,477.6376326453877,-1.0855066636029413,484.56998610879015,-2.4257956112132355
510.5952995867769,0.23375355113636365,483.68861234124336,-1.0752010569852943,491.20320202832556,-2.4081528607536766
513.0351510277407,0.2206169577205881,490.5492364404036,-1.065833596622243,498.059179948613,-2.380708582261029
517.6275033273253,0.26598403033088225,497.57419524983294,-1.023336971507353,504.88333472593587,-2.3546645220588234
521.9312045663436,0.29212143841911753,503.564583681484,-0.9958926930147058,511.911157618232,-2.3196590647977944
527.7215315058908,0.2955286362591911,509.22783020345923,-0.9866512522977942,518.9326158819352,-2.2849336511948533
534.4498986228903,0.32878382065716905,512.2484829336564,-0.933723000919118,525.8840632311163,-2.253288717830883
537.698511133857,0.37650792738970573,512.1835637220087,-1.005134133731618,532.3887136530749,-2.218451286764706
540.8002068014706,0.36063878676470573,518.8912457960812,-0.9156601849724268,538.4605693307153,-2.1798052619485295
544.5346071667303,0.39872472426470584,529.8097661472259,-0.8541906020220591,544.4942372367982,-2.142839499080883
548.3652043470088,0.44213149126838225,536.5757906500669,-0.8002355238970591,550.0314641126338,-2.1048655790441178
554.112973136698,0.4787051930147058,544.3032983790107,-0.7572954963235299,553.27742469502,-2.0763011259191178
560.0045825325869,0.4911391314338235,553.02607972586,-0.6580989409258025,570.2404328208556,-1.946920955882353
563.8640296650443,0.5375563677619485,555.4661295448577,-0.550143201811975,576.3504762700535,-1.9065946691176474
568.2579419374284,0.5741920791754201,554.5299836021056,-0.604391659007353,581.7884149398396,-1.872989430147059
571.738348160198,0.6098076315487132,573.9000942617814,-0.529059914981618,593.0308948863637,-1.8125000000000002
576.7493263285428,0.6627125459558822,578.5029936601771,-0.48649327895220607,599.7595802347928,-1.790656594669118
579.2832971256685,0.7361213235294117,584.8228152677975,-0.4506476907169119,606.1827634107622,-1.7822552849264708
578.8428648270387,0.6938907398897058,597.9354776800635,-0.36271398207720584,612.185881099599,-1.7923368566176474
580.7206848470922,0.8130773207720587,604.5368704566345,-0.3464714499080883,617.8898612445689,-1.8155804802389708
581.2461485837233,0.7767836626838235,611.0746169472761,-0.33302935431985303,623.3456208744151,-1.8497458065257357
581.3097948696525,0.6653262867647058,616.6665796290108,-0.33835018382352944,629.400928517714,-1.9032341452205885
584.313899565508,0.7213350183823528,622.5144003801805,-0.3781163832720591,633.6302242177055,-1.9456607594209563
582.9913297439005,0.6936106962316175,627.0057914856284,-0.40444048713235303,636.9544697317848,-1.9822064568014708
585.2100392713904,0.7683823529411764,628.7746490641712,-0.4454388786764707,640.1813364283925,-2.0306540096507355
593.6533555627507,0.7742632697610293,631.4892540823148,-0.48269268644957997,644.5366517745238,-2.0599185719209565
598.6950961026279,0.819000244140625,635.6739064588904,-0.5074965533088238,647.7940686883774,-2.0994047277113976
602.400264637993,0.8620569565716911,637.3254366554861,-0.5458225282300422,651.1183142024565,-2.135950425091912
610.8849510152072,0.8697581571691175,641.9697970630014,-0.5808679917279413,655.032560787099,-2.169387637867647
616.6114619453961,0.8612168255974264,643.6144170914105,-0.6151453354779415,659.7487505744486,-2.2132424747242654
621.7302781375334,0.8899213005514706,646.1871818151977,-0.6586401162027311,664.9944774607286,-2.256649241727942
623.1273141136782,0.8371330710018381,650.534041297627,-0.6934455422794119,670.450237090575,-2.2908145680147056
628.9452211104613,0.841753791360294,653.6818047531513,-0.7467338497899163,675.7850687771559,-2.3303007238051467
636.2278109930052,0.7835047104779411,658.0608510716077,-0.7850198184742649,681.317203950117,-2.3611055261948533
639.7269019468583,0.7448586856617647,662.2133893507687,-0.8113999310661766,687.02754872368,-2.384069106158088
642.2712986117742,0.6968512014180672,664.1798050008356,-0.8452292049632353,692.6742472113135,-2.4098331227022065
646.0087903680649,0.6784883386948529,667.8187813988345,-0.8755439309512869,698.4482382708056,-2.429996266084559
647.708146202373,0.6390021829044117,672.0200090867313,-0.8826430376838237,704.2986048734125,-2.4467988855698533
648.8499605719419,0.5978357651654411,673.5663592496658,-0.9197208180147063,710.2380762763203,-2.459680893841912
658.9296228745404,0.5386065314797793,678.9686559993315,-0.9464449842436979,716.1202660218918,-2.4750832950367654
661.22948141659,0.5026909323299632,681.4915947735628,-0.9594870174632353,722.10428982495,-2.4860049977022065
663.586621615976,0.4692957261029411,686.9944526549967,-0.968728458180147,728.0628551136365,-2.498046875
667.2755603484292,0.49449965533088225,692.261273738899,-1.0014135537027313,734.2059946315173,-2.5019674862132355
669.0271061371993,0.4496926700367646,695.1190283464239,-1.0271455652573531,739.6566625584894,-2.5135052849264703
671.7771348596257,0.40006893382352937,699.9098752271684,-1.0288678337545958,563.8034759358288,-1.9926470588235297
676.3718875334225,0.3793083639705882,704.1710577164106,-1.0493250229779412,560.8622994652408,-2.022058823529412
681.4839572192514,0.34271599264705876,710.0267706070355,-1.0521814682904413,556.7847593582889,-2.0514705882352944
687.4291567878927,0.3243731330422793,715.667953083222,-1.0705710018382353,478.6096256684492,-2.4411764705882355
689.2127984894241,0.2943084460346638,719.9450895748037,-1.0956582462086397,586.7145721925134,-1.834558823529412
693.9323221298463,0.27345186121323517,725.2159567440258,-1.097968606387868,,
700.7704790900735,0.25440889246323517,731.0160427807486,-1.111270680147059,,
706.3454694288937,0.24834127987132348,736.9383875467156,-1.112441771808155,,
711.4620852780033,0.2155761718749999,742.9544494022753,-1.1148312352284664,,
711.9132465219753,0.1962531594669117,744.1475444936498,-1.150476792279412,,
718.7897731002913,0.20501452534138642,746.9658020345923,-1.0950281479779413,,
725.1889525341387,0.19277261685924363,748.7972875584894,-1.142411534926471,,
730.7012058196858,0.2002671185661764,754.0576955213905,-1.097828584558824,,
735.9998015541444,0.195749080882353,756.5776641356117,-1.0605827780330885,,
738.4862073602524,0.2000337488511028,758.3092674214573,-1.1392750459558825,,
742.0090292864306,0.17548992253151252,759.3768277907755,-1.1202320772058825,,
745.9118195396056,0.20357430081407557,764.391229357833,-1.146810766209893,,
748.3481993649733,0.17693014705882337,770.1024998955548,-1.151036879595588,,
752.1580660406919,0.207454905790441,772.8571111505682,-1.0983886718750002,,
758.4784604648855,0.1884819479549631,773.6743294618984,-1.1538373161764708,,
764.256588532963,0.19135239545036753,525.2339572192514,-0.8897058823529413,,
770.1312680167948,0.19390079273897043,541.3770053475936,-0.7794117647058825,,
774.2347350095046,0.17335959041819837,549.5320855614973,-0.7205882352941178,,
777.676407921123,0.2105353860294117,592.9144385026739,-0.41176470588235303,,
780.6997883492886,0.17380966058298308,566.6778074866311,-0.5661764705882353,,
784.1123203542782,0.21949678308823528,563.2352941176471,-0.6176470588235297,,
790.484586501504,0.2256577435661764,558.355614973262,-0.6323529411764708,,
789.0630467052766,0.18596155503216893,593.5828877005348,-0.38235294117647056,,
796.5284378133356,0.2402200137867645,,,,
794.445931337734,0.19429285386029416,,,,
801.365919237013,0.1951729910714286,,,,
653.9438502673797,0.5735294117647058,,,,
634.4585561497327,0.8161764705882353,,,,
591.3770053475936,0.7205882352941175,,,,
615.6751336898396,0.8897058823529411,,,,
